rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person
48.0,0.0,0,0.0,0.9738,0.9578,0.803,0.1078,1907,1835,779,534,1373
48.0,0.0,15,15.58,0.6142,0.3409,0.6756,0.1762,1907,796,832,534,1373
48.0,0.0,30,30.32,0.4345,0.0452,0.6381,0.1787,1907,294,649,534,1373
48.0,0.0,45,44.89,0.1536,0.0,0.5802,0.1579,1907,82,201,534,1373
48.0,0.0,60,60.02,0.0225,0.0,0.3643,0.0953,1907,12,20,534,1373
48.0,0.0,75,75.34,0.0,0.0,,,1907,0,0,534,1373
