rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person
48,0,0,0.0,0.9738,0.9578,0.803,0.1078,1907,1835,4503,534,1373
48,0,30,30.48,0.4794,0.2389,0.6395,0.1787,1907,584,1840,534,1373
48,0,60,60.32,0.0543,0.0036,0.4897,0.1696,1907,34,168,534,1373
24,0,0,0.0,0.9438,0.9534,0.7932,0.1131,1907,1813,4384,534,1373
24,0,30,30.48,0.3408,0.177,0.6115,0.1756,1907,425,1450,534,1373
24,0,60,60.32,0.03,0.0029,0.476,0.1554,1907,20,122,534,1373
12,0,0,0.0,0.8801,0.8857,0.7603,0.1243,1907,1686,3665,534,1373
12,0,30,30.48,0.1592,0.0816,0.5623,0.17,1907,197,481,534,1373
12,0,60,60.32,0.0094,0.0007,0.4636,0.1621,1907,6,30,534,1373
