rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person
48.0,0.0,0,0.0,0.9738,0.9578,0.803,0.1078,1907,1835,779,534,1373
48.0,0.0,15,15.25,0.7828,0.6744,0.7149,0.1648,1907,1344,1312,534,1373
48.0,0.0,30,30.2,0.5712,0.4428,0.681,0.1639,1907,913,1074,534,1373
48.0,0.0,45,45.15,0.3933,0.2484,0.6487,0.1671,1907,551,784,534,1373
48.0,0.0,60,60.21,0.1798,0.1056,0.6037,0.1643,1907,241,522,534,1373
48.0,0.0,75,75.28,0.0318,0.016,0.4944,0.1372,1907,39,169,534,1373
