rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
32,60,0,0.0,0.736,0.5477,0.6709,0.1659,1907,1145,1411,534,1373,0.0
32,60,15,15.33,0.4644,0.228,0.6182,0.1648,1907,561,1284,534,1373,15.07
32,60,30,30.48,0.1273,0.0437,0.5708,0.1686,1907,128,307,534,1373,30.19
32,60,45,45.21,0.0187,0.0066,0.5374,0.159,1907,19,58,534,1373,44.87
32,60,60,60.32,0.0019,0.0,0.2566,,1907,1,12,534,1373,60.0
32,60,75,75.38,0.0019,0.0,0.5006,,1907,1,2,534,1373,74.92
32,75,0,0.0,0.03,0.0117,0.5403,0.1802,1907,32,16,534,1373,0.0
32,75,15,15.33,0.0131,0.0022,0.5239,0.1652,1907,10,44,534,1373,15.09
32,75,30,30.48,0.0019,0.0,0.3818,,1907,1,5,534,1373,30.15
32,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
32,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
32,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
24,0,0,0.0,0.9438,0.9534,0.7932,0.1131,1907,1813,759,534,1373,0.0
24,0,15,15.33,0.5805,0.5645,0.6904,0.1665,1907,1085,757,534,1373,15.11
24,0,30,30.48,0.3408,0.177,0.6115,0.1756,1907,425,370,534,1373,30.32
24,0,45,45.21,0.1536,0.0473,0.5507,0.1745,1907,147,168,534,1373,45.05
24,0,60,60.32,0.03,0.0029,0.476,0.1554,1907,20,34,534,1373,60.1
24,0,75,75.38,0.0,0.0,,,1907,0,5,534,1373,75.01
24,15,0,0.0,0.9532,0.949,0.7916,0.1136,1907,1812,666,534,1373,0.0
24,15,15,15.33,0.588,0.5703,0.6865,0.1648,1907,1097,686,534,1373,15.03
24,15,30,30.48,0.3352,0.1835,0.6083,0.1777,1907,431,359,534,1373,30.09
24,15,45,45.21,0.1592,0.0488,0.5444,0.1792,1907,152,146,534,1373,44.71
24,15,60,60.32,0.0318,0.0029,0.4552,0.1329,1907,21,28,534,1373,59.69
24,15,75,75.38,0.0,0.0,,,1907,0,3,534,1373,74.72
24,30,0,0.0,0.9532,0.9366,0.7862,0.1135,1907,1795,743,534,1373,0.0
24,30,15,15.33,0.6255,0.587,0.6903,0.1589,1907,1140,778,534,1373,14.98
24,30,30,30.48,0.339,0.2054,0.6288,0.1629,1907,463,416,534,1373,30.2
24,30,45,45.21,0.1348,0.059,0.5473,0.1667,1907,153,170,534,1373,45.07
24,30,60,60.32,0.0262,0.0036,0.423,0.137,1907,19,47,534,1373,60.33
24,30,75,75.38,0.0,0.0,,,1907,0,6,534,1373,75.36
24,45,0,0.0,0.9438,0.8944,0.7538,0.1321,1907,1732,1006,534,1373,0.0
24,45,15,15.33,0.6236,0.5208,0.6783,0.1598,1907,1048,1282,534,1373,14.78
24,45,30,30.48,0.3258,0.1646,0.6125,0.17,1907,400,577,534,1373,29.85
24,45,45,45.21,0.0974,0.0444,0.5225,0.1601,1907,113,187,534,1373,44.65
24,45,60,60.32,0.0075,0.0007,0.4408,0.1193,1907,5,32,534,1373,59.83
24,45,75,75.38,0.0,0.0,,,1907,0,3,534,1373,75.0
24,60,0,0.0,0.7154,0.5382,0.6648,0.1675,1907,1121,1345,534,1373,0.0
24,60,15,15.33,0.4064,0.2068,0.6116,0.1627,1907,501,1117,534,1373,15.07
24,60,30,30.48,0.1124,0.0401,0.5457,0.1679,1907,115,261,534,1373,30.19
24,60,45,45.21,0.0169,0.0066,0.5022,0.1688,1907,18,46,534,1373,44.87
24,60,60,60.32,0.0019,0.0,0.3307,,1907,1,14,534,1373,60.0
24,60,75,75.38,0.0019,0.0,0.4661,,1907,1,1,534,1373,74.92
24,75,0,0.0,0.0169,0.0102,0.5487,0.195,1907,23,10,534,1373,0.0
24,75,15,15.33,0.0075,0.0022,0.5497,0.1236,1907,7,28,534,1373,15.09
24,75,30,30.48,0.0,0.0,,,1907,0,2,534,1373,30.15
24,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
24,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
24,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
16,0,0,0.0,0.9157,0.9308,0.7785,0.12,1907,1767,718,534,1373,0.0
16,0,15,15.33,0.4476,0.3977,0.6588,0.1727,1907,785,548,534,1373,15.11
16,0,30,30.48,0.2266,0.1231,0.5883,0.1768,1907,290,203,534,1373,30.32
16,0,45,45.21,0.0824,0.0277,0.538,0.1737,1907,82,87,534,1373,45.05
