rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person
24,30,60,60.32,0.0262,0.0036,0.423,0.137,1907,19,47,534,1373
24,45,0,0.0,0.9438,0.8944,0.7538,0.1321,1907,1732,1006,534,1373
24,45,15,15.33,0.6236,0.5208,0.6783,0.1598,1907,1048,1282,534,1373
24,45,30,30.48,0.3258,0.1646,0.6125,0.17,1907,400,577,534,1373
24,45,45,45.21,0.0974,0.0444,0.5225,0.1601,1907,113,187,534,1373
24,45,60,60.32,0.0075,0.0007,0.4408,0.1193,1907,5,32,534,1373
24,60,0,0.0,0.7154,0.5382,0.6648,0.1675,1907,1121,1345,534,1373
24,60,15,15.33,0.4064,0.2068,0.6116,0.1627,1907,501,1117,534,1373
24,60,30,30.48,0.1124,0.0401,0.5457,0.1679,1907,115,261,534,1373
24,60,45,45.21,0.0169,0.0066,0.5022,0.1688,1907,18,46,534,1373
24,60,60,60.32,0.0019,0.0,0.3307,,1907,1,14,534,1373
16,0,0,0.0,0.9157,0.9308,0.7785,0.12,1907,1767,718,534,1373
16,0,15,15.33,0.4476,0.3977,0.6588,0.1727,1907,785,548,534,1373
16,0,30,30.48,0.2266,0.1231,0.5883,0.1768,1907,290,203,534,1373
16,0,45,45.21,0.0824,0.0277,0.538,0.1737,1907,82,87,534,1373
16,0,60,60.32,0.0206,0.0022,0.4847,0.1499,1907,14,20,534,1373
16,15,0,0.0,0.9101,0.9243,0.7807,0.1133,1907,1755,638,534,1373
16,15,15,15.33,0.4363,0.4202,0.6561,0.1656,1907,810,547,534,1373
16,15,30,30.48,0.2191,0.1296,0.5835,0.1784,1907,295,216,534,1373
16,15,45,45.21,0.0861,0.0313,0.5389,0.1704,1907,89,88,534,1373
16,15,60,60.32,0.0206,0.0022,0.4284,0.1142,1907,14,22,534,1373
16,30,0,0.0,0.9139,0.9228,0.773,0.1195,1907,1755,714,534,1373
16,30,15,15.33,0.485,0.4465,0.6622,0.165,1907,872,661,534,1373
16,30,30,30.48,0.2397,0.1508,0.5969,0.1642,1907,335,283,534,1373
16,30,45,45.21,0.0918,0.0393,0.5414,0.163,1907,103,103,534,1373
16,30,60,60.32,0.0056,0.0036,0.4687,0.1435,1907,8,22,534,1373
16,45,0,0.0,0.9007,0.882,0.7403,0.1367,1907,1692,967,534,1373
16,45,15,15.33,0.4925,0.4064,0.6571,0.1576,1907,821,1048,534,1373
16,45,30,30.48,0.2097,0.1224,0.5871,0.1633,1907,280,399,534,1373
16,45,45,45.21,0.0581,0.0328,0.5059,0.1484,1907,76,127,534,1373
16,45,60,60.32,0.0037,0.0007,0.4594,0.1048,1907,3,21,534,1373
16,60,0,0.0,0.6423,0.5011,0.6544,0.1644,1907,1031,1136,534,1373
16,60,15,15.33,0.2959,0.1551,0.5909,0.1656,1907,371,835,534,1373
16,60,30,30.48,0.0524,0.0248,0.5508,0.162,1907,62,185,534,1373
16,60,45,45.21,0.0094,0.0058,0.4689,0.1313,1907,13,32,534,1373
16,60,60,60.32,0.0019,0.0,0.2908,,1907,1,7,534,1373
12,0,0,0.0,0.8801,0.8857,0.7603,0.1243,1907,1686,624,534,1373
12,0,15,15.33,0.3221,0.268,0.651,0.1587,1907,540,360,534,1373
12,0,30,30.48,0.1592,0.0816,0.5623,0.17,1907,197,100,534,1373
12,0,45,45.21,0.0506,0.0182,0.5432,0.1609,1907,52,50,534,1373
12,0,60,60.32,0.0094,0.0007,0.4636,0.1621,1907,6,6,534,1373
12,15,0,0.0,0.8839,0.8864,0.7568,0.1305,1907,1689,631,534,1373
12,15,15,15.33,0.3483,0.2804,0.6424,0.1613,1907,571,374,534,1373
12,15,30,30.48,0.1536,0.075,0.571,0.1776,1907,185,121,534,1373
12,15,45,45.21,0.0506,0.0175,0.5528,0.1447,1907,51,48,534,1373
12,15,60,60.32,0.0112,0.0007,0.4186,0.0983,1907,7,11,534,1373
12,30,0,0.0,0.8652,0.8922,0.7532,0.1283,1907,1687,677,534,1373
12,30,15,15.33,0.3727,0.3103,0.6472,0.1602,1907,625,488,534,1373
12,30,30,30.48,0.1498,0.1012,0.5755,0.1661,1907,219,168,534,1373
12,30,45,45.21,0.0543,0.0218,0.5508,0.1569,1907,59,64,534,1373
12,30,60,60.32,0.0037,0.0029,0.3658,0.0835,1907,6,10,534,1373
12,45,0,0.0,0.8483,0.8434,0.7229,0.1423,1907,1611,897,534,1373
12,45,15,15.33,0.3652,0.3052,0.6261,0.1634,1907,614,809,534,1373
12,45,30,30.48,0.1273,0.0823,0.5542,0.1691,1907,181,262,534,1373
12,45,45,45.21,0.0318,0.0248,0.4907,0.1537,1907,51,74,534,1373
12,45,60,60.32,0.0037,0.0007,0.3664,0.1025,1907,3,14,534,1373
12,60,0,0.0,0.5262,0.4414,0.6334,0.1697,1907,887,892,534,1373
12,60,15,15.33,0.2191,0.1173,0.5532,0.1539,1907,278,529,534,1373
12,60,30,30.48,0.0356,0.0204,0.5094,0.1647,1907,47,104,534,1373
12,60,45,45.21,0.0075,0.0044,0.4276,0.1355,1907,10,21,534,1373
12,60,60,60.32,0.0,0.0,,,1907,0,5,534,1373
